tmdb_id,imdb_id,name,country,origin_country,year,first_air_date,original_language,averageRating,numVotes,weighted_rating,vote_average_tmdb,vote_count_tmdb,popularity
86825,tt6843558,The Kirlian Frequency,AR,AR,2017,2017-04-30,es,7.5,1267,7.402532602219069,7.646,24,0.5563
82728,tt7678620,Bluey,AU,AU,2018,2018-10-01,en,9.3,47860,9.2778282693987,8.574,701,38.0731
324339,tt5804986,The Big Lez Show,AU,AU,2012,2012-07-16,en,9.2,3516,8.945461929313021,10.0,1,0.519
321760,tt21209936,Sassy the Sasquatch,AU,AU,2022,2022-06-27,en,9.1,1452,8.601933969324332,0.0,0,0.2524
261145,tt27610198,The Amazing Digital Circus,AU,AU,2023,2023-10-13,en,8.3,15978,8.265273401391013,8.571,254,73.1993
324846,tt35459966,Knights of Guinevere,AU,AU,2025,2025-09-19,en,8.3,1571,8.02369633419657,0.0,0,0.8866
325037,tt31558071,The Gaslight District,AU,AU,2025,2025-04-18,en,8.0,1154,7.744724974680227,4.0,1,0.3757
291212,tt15599734,Murder Drones,AU,AU,2021,2021-10-29,en,7.5,5837,7.472822330459381,8.585,71,6.5798
19757,tt1441105,Black Panther,AU,AU,2010,2010-01-16,en,7.1,1899,7.111577785794538,6.864,22,2.334
19889,tt1125758,Timmy Time,AU,"AU,GB",2009,2009-04-06,en,6.7,1692,6.803912001880062,6.531,32,2.773
68962,tt6283542,Pacific Heat,AU,AU,2016,2016-11-27,en,5.9,1198,6.269714433522436,5.0,14,0.554
74606,tt6574360,Jorel's Brother,BR,BR,2014,2014-09-22,pt,9.0,1707,8.582136433222065,8.9,56,3.2513
83414,tt8912244,Super Drags,BR,BR,2018,2018-11-09,pt,5.5,2042,5.825639302958732,5.613,40,0.6196
82456,tt6385540,Hilda,CA,"CA,GB",2018,2018-09-21,en,8.6,16288,8.55697969431267,8.389,235,5.1353
2342,tt0305011,Clone High,CA,CA,2002,2002-11-02,en,8.1,9657,8.053507443942218,7.474,95,5.579
958,tt0115108,Beast Wars: Transformers,CA,CA,1996,1996-04-22,en,8.1,9153,8.05107998633804,8.12,321,7.0098
79478,tt8421152,Gary and His Demons,CA,"CA,US",2018,2018-04-15,en,8.0,2246,7.846240024807391,7.517,29,2.3011
2121,tt0108903,ReBoot,CA,CA,1994,1994-09-10,en,7.9,6116,7.84373868018759,7.418,67,5.9293
